,Name,Platform,Year,Genre,Publisher,DateSortie,Studio,Score,Rate,Review,NA_Sales,EU_Sales,JP_Sales,Other_Sales,Global_Sales,GK_licence,GK_distributeur,Mois
105,Final Fantasy X,PS2,2001.0,Role-Playing,Sony Computer Entertainment,2001-12-01,SquareSoft,8.6,8.45,356.0,2.91,2.07,2.73,0.33,8.05,Final Fantasy,,12.0
106,Final Fantasy VIII,PS,1999.0,Role-Playing,SquareSoft,1999-09-01,SquareSoft,8.5,8.4,350.0,2.28,1.72,3.63,0.23,7.86,Final Fantasy,Eidos Interactive,9.0
107,PokǸmon Platinum Version,DS,2008.0,Role-Playing,Nintendo,0000-01-00,Game Freak,7.0,7.7,46.0,2.82,1.78,2.69,0.55,7.84,PokǸmon,,1.0
108,Pac-Man,2600,1982.0,Puzzle,Atari,0000-01-00,,4.0,7.0,38.0,7.28,0.45,0.0,0.08,7.81,Pac-Man,,1.0
110,Grand Theft Auto: Liberty City Stories,PSP,2005.0,Action,Take-Two Interactive,2005-12-01,Rockstar North,7.93,7.5,288.5,2.9,2.83,0.24,1.75,7.72,Grand Theft Auto (GTA),,12.0
112,Super Mario Galaxy 2,Wii,2010.0,Platform,Nintendo,2010-06-01,Nintendo EAD Tokyo ,9.4,9.0,896.5,3.66,2.42,0.98,0.64,7.69,Mario,,6.0
113,Star Wars Battlefront (2015),PS4,2015.0,Shooter,Electronic Arts,0000-01-00,DICE,7.0,6.7,123.0,2.93,3.29,0.22,1.23,7.67,,,1.0
114,Call of Duty: Advanced Warfare,PS4,2014.0,Shooter,Activision,2014-11-01,Sledgehammer Games,7.77,6.47,391.0,2.8,3.3,0.14,1.37,7.6,Call of Duty,,11.0
116,The Legend of Zelda: Ocarina of Time,N64,1998.0,Action,Nintendo,1998-12-01,Nintendo,9.47,9.28,1050.0,4.1,1.89,1.45,0.16,7.6,The Legend of Zelda,Nintendo,12.0
118,Crash Bandicoot 2: Cortex Strikes Back,PS,1997.0,Platform,Sony Computer Entertainment,0000-01-00,Naughty Dog,,7.9,83.0,3.78,2.17,1.31,0.31,7.58,Crash Bandicoot,,1.0
119,Super Mario Bros. 2,NES,1988.0,Platform,Nintendo,0000-01-00,Nintendo,8.0,7.5,160.0,5.39,1.18,0.7,0.19,7.46,Mario,,1.0
121,Super Smash Bros. for Wii U and 3DS,3DS,2014.0,Fighting,Nintendo,0000-01-00,Namco,9.0,8.3,279.0,3.24,1.35,2.42,0.43,7.45,,,1.0
122,Call of Duty: World at War,X360,2008.0,Shooter,Activision,2008-11-01,Treyarch,7.13,7.35,405.5,4.79,1.9,0.0,0.69,7.37,Call of Duty,,11.0
124,Battlefield 3,X360,2011.0,Shooter,Electronic Arts,2011-10-01,EA DICE,8.13,7.5,1113.5,4.46,2.13,0.06,0.69,7.34,Battlefield,,10.0
125,The Legend of Zelda: Twilight Princess,Wii,2006.0,Action,Nintendo,2006-11-01,Nintendo,9.08,8.65,564.0,3.83,2.19,0.6,0.7,7.31,The Legend of Zelda,Nintendo,11.0
127,Call of Duty: Black Ops 3,XOne,2015.0,Shooter,Activision,0000-01-00,Treyarch,6.0,5.6,48.0,4.52,2.09,0.01,0.67,7.3,Call of Duty,,1.0
129,Just Dance,Wii,2009.0,Misc,Ubisoft,2009-11-01,Ubisoft Paris,4.45,6.8,6.0,3.51,3.03,0.0,0.73,7.27,Just Dance,,11.0
130,Battlefield 3,PS3,2011.0,Shooter,Electronic Arts,2011-10-01,EA DICE,8.17,7.5,1949.0,2.85,2.93,0.35,1.1,7.23,Battlefield,,10.0
131,Need for Speed Underground,PS2,2003.0,Racing,Electronic Arts,2003-11-01,EA Black Box,7.5,7.85,86.5,3.27,2.83,0.08,1.02,7.2,Need For Speed,,11.0
132,Tekken 3,PS,1998.0,Fighting,Sony Computer Entertainment,1998-04-01,Namco,9.6,8.5,99.0,3.27,2.22,1.4,0.29,7.16,Tekken,Sony Interactive Entertainment Europe,4.0
133,Crash Bandicoot 3: Warped,PS,1998.0,Platform,Sony Computer Entertainment,1998-10-01,Naughty Dog,8.05,8.6,89.0,3.68,1.75,1.42,0.28,7.13,Crash Bandicoot,,10.0
135,Super Smash Bros. Melee,GC,2001.0,Fighting,Nintendo,2001-12-01,HAL Labs,9.2,9.1,,4.41,1.04,1.39,0.22,7.07,,,12.0
136,Mario Kart 8,WiiU,2014.0,Racing,Nintendo,2014-05-01,Nintendo,8.4,8.6,439.0,3.13,2.07,1.27,0.49,6.96,,,5.0
137,Fallout 4,PS4,2015.0,Role-Playing,Bethesda Softworks,2015-11-01,Bethesda Game Studios,7.57,7.25,192.0,2.47,3.15,0.24,1.1,6.96,Fallout,,11.0
138,Mario Kart: Double Dash!!,GC,2003.0,Racing,Nintendo,2003-11-01,Nintendo,8.35,8.3,304.0,4.12,1.77,0.87,0.19,6.95,,,11.0
139,Just Dance 4,Wii,2012.0,Misc,Ubisoft,2012-10-01,Ubisoft,7.13,6.85,55.0,4.14,2.21,0.0,0.56,6.91,Just Dance,,10.0
140,FIFA 14,PS3,2013.0,Sports,Electronic Arts,2013-09-01,EA Canada,8.2,5.65,578.0,0.78,4.32,0.07,1.73,6.9,FIFA EA Sports,,9.0
141,Need for Speed Underground 2,PS2,2004.0,Racing,Electronic Arts,2004-11-01,EA Canada,7.23,7.6,130.5,2.71,3.02,0.08,1.09,6.9,Need For Speed,,11.0
142,Medal of Honor: Frontline,PS2,2002.0,Shooter,Electronic Arts,2002-05-01,EA LA,8.4,7.75,58.0,2.93,2.75,0.17,0.99,6.83,Medal of Honor,,5.0
143,Uncharted 3: Drake's Deception,PS3,2011.0,Action,Sony Computer Entertainment,2011-11-01,Naughty Dog,8.6,8.15,456.0,2.77,2.8,0.19,1.06,6.83,Uncharted,,11.0
144,Crash Bandicoot,PS,1996.0,Platform,Sony Computer Entertainment,0000-01-00,Toys for Bob,7.0,6.9,13.0,3.23,2.35,0.94,0.3,6.82,Crash Bandicoot,,1.0
145,Zumba Fitness,Wii,2010.0,Sports,505 Games,2010-11-01,Pipeworks Software,4.5,5.65,10.0,3.5,2.64,0.0,0.67,6.81,Zumba Fitness,,11.0
146,Gears of War 2,X360,2008.0,Shooter,Microsoft Game Studios,2008-11-01,Epic Games,8.65,8.05,317.0,4.15,1.92,0.06,0.64,6.76,Gears of War,,11.0
147,Uncharted 2: Among Thieves,PS3,2009.0,Action,Sony Computer Entertainment,2009-10-01,Naughty Dog,9.37,8.45,2117.5,3.27,2.25,0.21,1.0,6.73,Uncharted,Sony Interactive Entertainment Europe,10.0
149,Call of Duty 4: Modern Warfare,PS3,2007.0,Shooter,Activision,2007-11-01,Infinity Ward,8.23,8.25,818.0,3.1,2.3,0.28,1.04,6.72,Call of Duty,Activision,11.0
151,FIFA 12,PS3,2011.0,Sports,Electronic Arts,2011-09-01,EA Canada,7.92,7.75,702.5,0.84,4.32,0.11,1.42,6.69,FIFA EA Sports,,9.0
152,Big Brain Academy,DS,2005.0,Misc,Nintendo,2006-06-01,Nintendo,7.4,7.5,,1.67,2.78,1.6,0.62,6.67,,,6.0
153,Red Dead Redemption,PS3,2010.0,Action,Take-Two Interactive,2010-05-01,Rockstar San Diego,9.17,8.92,2043.0,2.79,2.61,0.17,1.03,6.6,Red Dead Revolver,,5.0
155,FIFA 15,PS4,2014.0,Sports,Electronic Arts,2014-09-01,EA Sports,7.23,5.62,445.5,0.79,4.29,0.05,1.47,6.59,FIFA EA Sports,,9.0
156,Donkey Kong Country Returns,Wii,2010.0,Platform,Nintendo,2010-12-01,Retro Studios,8.57,8.45,403.5,3.25,1.84,1.03,0.47,6.59,Donkey Kong,,12.0
157,The Elder Scrolls V: Skyrim,PS3,2011.0,Role-Playing,Bethesda Softworks,2011-11-01,Bethesda Game Studios,8.51,7.98,1186.0,2.55,2.71,0.25,1.05,6.56,The Elder Scrolls,,11.0
159,The Legend of Zelda,NES,1986.0,Action,Nintendo,0000-01-00,Nintendo,6.0,8.3,176.0,3.74,0.93,1.69,0.14,6.51,The Legend of Zelda,,1.0
161,Assassin's Creed III,PS3,2012.0,Action,Ubisoft,2012-10-01,Ubisoft,8.5,6.95,1163.0,2.64,2.56,0.16,1.14,6.5,Assassin's Creed,,10.0
162,Halo: Combat Evolved,XB,2001.0,Shooter,Microsoft Game Studios,2001-11-01,Bungie Software,8.68,8.4,247.0,4.98,1.3,0.08,0.07,6.43,Halo,,11.0
164,PokǸmon Emerald Version,GBA,2004.0,Role-Playing,Nintendo,0000-01-00,Nintendo,7.0,8.0,40.0,2.57,1.58,2.06,0.21,6.41,PokǸmon,,1.0
165,Kingdom Hearts,PS2,2002.0,Role-Playing,Sony Computer Entertainment,2002-09-01,SquareSoft,7.25,8.3,148.0,3.64,1.2,1.49,0.07,6.4,Kingdom Hearts,,9.0
166,PokǸmon Crystal Version,GB,2000.0,Role-Playing,Nintendo,0000-01-00,Nintendo,6.0,8.0,46.0,2.55,1.56,1.29,0.99,6.39,PokǸmon,,1.0
167,Halo 3: ODST,X360,2009.0,Shooter,Microsoft Game Studios,2009-09-01,Bungie Software,7.43,7.1,450.5,4.34,1.35,0.06,0.61,6.36,Halo,,9.0
169,Red Dead Redemption,X360,2010.0,Action,Take-Two Interactive,2010-05-01,Rockstar San Diego,9.17,8.98,1725.0,3.7,1.97,0.09,0.57,6.34,Red Dead Revolver,,5.0
171,Super Mario Sunshine,GC,2002.0,Platform,Nintendo,2002-08-01,Nintendo,9.2,8.4,,4.01,1.26,0.87,0.17,6.31,Mario,,8.0
172,Street Fighter II: The World Warrior,SNES,1992.0,Fighting,Capcom,0000-01-00,Capcom,,8.3,124.0,2.47,0.83,2.87,0.12,6.3,Street Fighter,,1.0
173,World of Warcraft,PC,2004.0,Role-Playing,Activision,2005-02-01,Blizzard Entertainment,8.77,7.85,627.0,0.07,6.21,0.0,0.0,6.28,Warcraft,Vivendi Games,2.0
174,Driver,PS,1999.0,Action,GT Interactive,1999-06-01,Reflections Interactive,8.35,7.65,78.0,3.11,2.8,0.02,0.33,6.27,Driver,,6.0
175,Kinect Sports,X360,2010.0,Sports,Microsoft Game Studios,2010-11-01,Rare Ltd.,6.15,6.9,13.0,3.92,1.78,0.03,0.51,6.24,Kinect Sports,,11.0
176,Gears of War 3,X360,2011.0,Shooter,Microsoft Game Studios,2011-09-01,Epic Games,8.55,7.95,264.0,4.05,1.62,0.07,0.49,6.24,Gears of War,,9.0
177,Gears of War,X360,2006.0,Shooter,Microsoft Game Studios,2006-11-01,Epic Games,8.8,8.35,682.0,3.54,1.9,0.07,0.6,6.11,Gears of War,,11.0
178,Metal Gear Solid 2: Sons of Liberty,PS2,2001.0,Action,Konami Digital Entertainment,2002-03-01,KCEJ,9.37,8.58,182.5,2.45,2.01,0.87,0.72,6.05,Metal Gear,,3.0
180,Sonic the Hedgehog 2,GEN,1992.0,Platform,Sega,0000-01-00,Sonic Team,,8.2,217.0,4.47,1.2,0.16,0.19,6.03,Sonic,,1.0
181,Metal Gear Solid 4: Guns of the Patriots,PS3,2008.0,Action,Konami Digital Entertainment,2008-06-01,Kojima Productions,8.7,8.35,373.0,2.63,1.74,0.83,0.83,6.03,Metal Gear,,6.0
183,Metal Gear Solid,PS,1998.0,Action,Konami Digital Entertainment,1998-10-01,KCEJ,9.4,9.2,,3.18,1.83,0.78,0.24,6.03,Metal Gear,,10.0
184,The Last of Us,PS3,2013.0,Action,Sony Computer Entertainment Europe,2013-06-01,Naughty Dog,9.33,8.62,506.5,2.41,2.28,0.28,1.01,5.99,The Last of Us,,6.0
185,Final Fantasy XII,PS2,2006.0,Role-Playing,Square Enix,2006-10-01,Square Enix,9.1,7.65,314.0,1.88,0.0,2.33,1.74,5.95,Final Fantasy,,10.0
187,LittleBigPlanet,PS3,2008.0,Platform,Sony Computer Entertainment,2008-11-01,SCE/WWS,9.25,6.8,1105.0,2.8,2.05,0.17,0.9,5.92,LittleBigPlanet,,11.0
