,Name,Platform,Year,Genre,Publisher,NA_Sales,EU_Sales,JP_Sales,Other_Sales,Global_Sales,GK_noteUsers,GK_nbAvis,GK_noteGK,GK_licence,GK_dateTestGK,GK_distributeur,GK_developpeur,GK_frenchName,Name_alphanum,JV_Name,JV_plateforms,JV_reviews,JV_launch_year,JV_launch_date,JV_journalist_rate,JV_players_rates,JV_Name_alphanum
43,Brain Age 2: More Training in Minutes a Day,DS,2005.0,Puzzle,Nintendo,3.44,5.36,5.32,1.18,15.3,,,,,,,,,brainage2moretraininginminutesaday,,,,,,,,
44,Gran Turismo 3: A-Spec,PS2,2001.0,Racing,Sony Computer Entertainment,6.85,5.09,1.87,1.16,14.98,8.4,107.0,9,Gran Turismo ,,,Polyphony Digital,,granturismo3aspec,,,,,,,,
46,Call of Duty: Modern Warfare 3,X360,2011.0,Shooter,Activision,9.03,4.28,0.13,1.32,14.76,6.5,189.0,7.0,Call of Duty,2011-11-10,,Infinity Ward,Call of Duty : Modern Warfare 3,callofdutymodernwarfare3,Call of Duty : Modern Warfare 3,X360,3 686 avis,2011,2011-11-01,8.5,6.35,callofdutymodernwarfare3
48,Call of Duty: Modern Warfare 3,X360,2011.0,Shooter,Activision,9.03,4.28,0.13,1.32,14.76,6.5,189.0,7.0,Call of Duty,2011-11-10,,Infinity Ward,Call of Duty: Modern Warfare 3,callofdutymodernwarfare3,Call of Duty : Modern Warfare 3,X360,3 686 avis,2011,2011-11-01,8.5,6.35,callofdutymodernwarfare3
49,Pokémon Yellow: Special Pikachu Edition,GB,1998.0,Role-Playing,Nintendo,5.89,5.04,3.12,0.59,14.64,,,,,,,,,pokémonyellowspecialpikachuedition,,,,,,,,
51,Call of Duty: Black Ops,X360,2010.0,Shooter,Activision,9.67,3.73,0.11,1.13,14.64,6.7,226.0,7.0,Call of Duty,2010-11-08,,Treyarch,Call of Duty : Black Ops,callofdutyblackops,Call of Duty : Black Ops,X360,2 797 avis,2010,2010-11-01,9.0,6.7,callofdutyblackops
53,Call of Duty: Black Ops,X360,2010.0,Shooter,Activision,9.67,3.73,0.11,1.13,14.64,6.7,226.0,7.0,Call of Duty,2010-11-08,,Treyarch,Call of Duty: Black Ops,callofdutyblackops,Call of Duty : Black Ops,X360,2 797 avis,2010,2010-11-01,9.0,6.7,callofdutyblackops
54,Pokemon X/Pokemon Y,3DS,2013.0,Role-Playing,Nintendo,5.17,4.05,4.34,0.79,14.35,7.7,93.0,8,Pokémon ,,,Game Freak,,pokemonxpokemony,,,,,,,,
55,Call of Duty: Black Ops 3,PS4,2015.0,Shooter,Activision,5.77,5.81,0.35,2.31,14.24,5.6,48.0,6.0,Call of Duty,2015-11-13,,Treyarch,Call of Duty : Black Ops 3,callofdutyblackops3,,,,,,,,
56,Call of Duty: Black Ops 3,PS4,2015.0,Shooter,Activision,5.77,5.81,0.35,2.31,14.24,5.6,48.0,6.0,Call of Duty,2015-11-13,,Treyarch,Call of Duty: Black Ops 3,callofdutyblackops3,,,,,,,,
58,Call of Duty: Black Ops II,PS3,2012.0,Shooter,Activision,4.99,5.88,0.65,2.52,14.03,6.1,105.0,7,,,,Treyarch,,callofdutyblackopsii,Call of Duty : Black Ops II,PS3,3 069 avis,2012,2012-11-01,8.5,0.0,callofdutyblackopsii
60,Call of Duty: Black Ops II,X360,2012.0,Shooter,Activision,8.25,4.3,0.07,1.12,13.73,6.1,105.0,7,,,,Treyarch,,callofdutyblackopsii,Call of Duty : Black Ops II,X360,2 825 avis,2012,2012-11-01,8.5,6.75,callofdutyblackopsii
61,Call of Duty: Modern Warfare 2,X360,2009.0,Shooter,Activision,8.52,3.63,0.08,1.29,13.51,7.2,327.0,8.0,Call of Duty,2009-11-09,,Infinity Ward,Call of Duty : Modern Warfare 2,callofdutymodernwarfare2,Call of Duty : Modern Warfare 2,X360,2 416 avis,2009,2009-11-01,9.0,8.55,callofdutymodernwarfare2
62,Call of Duty: Modern Warfare 2,X360,2009.0,Shooter,Activision,8.52,3.63,0.08,1.29,13.51,7.2,327.0,8.0,Call of Duty,2009-11-09,,Infinity Ward,Call of Duty: Modern Warfare 2,callofdutymodernwarfare2,Call of Duty : Modern Warfare 2,X360,2 416 avis,2009,2009-11-01,9.0,8.55,callofdutymodernwarfare2
64,Call of Duty: Modern Warfare 3,PS3,2011.0,Shooter,Activision,5.54,5.82,0.49,1.62,13.46,6.5,189.0,7.0,Call of Duty,2011-11-10,,Infinity Ward,Call of Duty : Modern Warfare 3,callofdutymodernwarfare3,Call of Duty : Modern Warfare 3,PS3,3 625 avis,2011,2011-11-01,8.5,6.7,callofdutymodernwarfare3
66,Call of Duty: Modern Warfare 3,PS3,2011.0,Shooter,Activision,5.54,5.82,0.49,1.62,13.46,6.5,189.0,7.0,Call of Duty,2011-11-10,,Infinity Ward,Call of Duty: Modern Warfare 3,callofdutymodernwarfare3,Call of Duty : Modern Warfare 3,PS3,3 625 avis,2011,2011-11-01,8.5,6.7,callofdutymodernwarfare3
70,Grand Theft Auto III,PS2,2001.0,Action,Take-Two Interactive,6.99,4.51,0.3,1.3,13.1,8.4,229.0,7.0,Grand Theft Auto (GTA),2011-12-20,Take Two Interactive,Rockstar North,Grand Theft Auto III,grandtheftautoiii,Grand Theft Auto III,PS2,434 avis,2001,2001-10-01,9.0,8.75,grandtheftautoiii
71,Super Smash Bros. Brawl,Wii,2008.0,Fighting,Nintendo,6.75,2.61,2.66,1.02,13.04,8.1,248.0,8.0,Mario,2008-06-27,,Sora Ltd.,Super Smash Bros. Brawl,supersmashbrosbrawl,,,,,,,,
73,Call of Duty: Black Ops,PS3,2010.0,Shooter,Activision,5.98,4.44,0.48,1.83,12.73,6.7,226.0,7.0,Call of Duty,2010-11-08,,Treyarch,Call of Duty : Black Ops,callofdutyblackops,Call of Duty : Black Ops,PS3,4 033 avis,2010,2010-11-01,9.0,0.0,callofdutyblackops
75,Call of Duty: Black Ops,PS3,2010.0,Shooter,Activision,5.98,4.44,0.48,1.83,12.73,6.7,226.0,7.0,Call of Duty,2010-11-08,,Treyarch,Call of Duty: Black Ops,callofdutyblackops,Call of Duty : Black Ops,PS3,4 033 avis,2010,2010-11-01,9.0,0.0,callofdutyblackops
76,Animal Crossing: Wild World,DS,2005.0,Simulation,Nintendo,2.55,3.52,5.33,0.88,12.27,7.3,72.0,7,,,,Nintendo,,animalcrossingwildworld,Animal Crossing : Wild World,DS,1 154 avis,2006,2006-03-01,8.0,8.7,animalcrossingwildworld
77,Mario Kart 7,3DS,2011.0,Racing,Nintendo,4.74,3.91,2.67,0.89,12.21,7.9,272.0,8.0,Mario,2011-11-28,,Nintendo,Mario Kart 7,mariokart7,,,,,,,,
78,Halo 3,X360,2007.0,Shooter,Microsoft Game Studios,7.97,2.83,0.13,1.21,12.14,7.2,202.0,7.0,Halo,2007-09-29,Xbox Game Studios,Xbox Game Studios,Halo 3,halo3,Halo 3,X360,1 556 avis,2007,2007-09-01,8.5,8.65,halo3
81,Grand Theft Auto V,PS4,2014.0,Action,Take-Two Interactive,3.8,5.81,0.36,2.02,11.98,8.5,595.0,9.0,Grand Theft Auto (GTA),2013-09-16,,Rockstar North,Grand Theft Auto V,grandtheftautov,Grand Theft Auto V,PS4,567 avis,2013,2013-09-01,9.0,8.45,grandtheftautov
82,Pokemon HeartGold/Pokemon SoulSilver,DS,2009.0,Action,Nintendo,4.4,2.77,3.96,0.77,11.9,8.2,136.0,6,Pokémon ,,,Nintendo,,pokemonheartgoldpokemonsoulsilver,,,,,,,,
83,Super Mario 64,N64,1996.0,Platform,Nintendo,6.91,2.85,1.91,0.23,11.89,8.7,445.0,8.0,Mario,2005-03-10,Nintendo,Nintendo,Super Mario 64,supermario64,Super Mario 64,N64,710 avis,1997,1997-03-01,9.5,0.0,supermario64
84,Gran Turismo 4,PS2,2004.0,Racing,Sony Computer Entertainment,3.01,0.01,1.1,7.53,11.66,8.0,103.0,8.0,Gran Turismo,2005-03-07,,Polyphony Digital,Gran Turismo 4,granturismo4,,,,,,,,
85,Super Mario Galaxy,Wii,2007.0,Platform,Nintendo,6.16,3.4,1.2,0.76,11.52,8.8,386.0,9.0,Mario,2007-11-09,Nintendo,Nintendo,Super Mario Galaxy,supermariogalaxy,Super Mario Galaxy,Wii,1 672 avis,2007,2007-11-01,9.5,9.15,supermariogalaxy
86,Pokemon Omega Ruby/Pokemon Alpha Sapphire,3DS,2014.0,Role-Playing,Nintendo,4.23,3.37,3.08,0.65,11.33,7.8,51.0,7,Pokémon ,,,,Pokémon Rubis Omega,pokemonomegarubypokemonalphasapphire,,,,,,,,
87,Super Mario Land 2: 6 Golden Coins,GB,1992.0,Adventure,Nintendo,6.16,2.04,2.69,0.29,11.18,,,,,,,,,supermarioland26goldencoins,Super Mario Land 2 : 6 Golden Coins,GB,154 avis,1993,1993-01-01,8.5,8.9,supermarioland26goldencoins
89,Grand Theft Auto IV,X360,2008.0,Action,Take-Two Interactive,6.76,3.1,0.14,1.03,11.02,8.0,553.0,8.666666666666666,Grand Theft Auto (GTA),2008-12-04,,Rockstar Games,Grand Theft Auto IV,grandtheftautoiv,Grand Theft Auto IV,X360,2 147 avis,2008,2008-04-01,9.0,8.7,grandtheftautoiv
90,Gran Turismo,PS,1997.0,Racing,Sony Computer Entertainment,4.02,3.87,2.54,0.52,10.95,7.1,38.0,7,Gran Turismo ,,,Polyphony Digital,,granturismo,,,,,,,,
91,Super Mario 3D Land,3DS,2011.0,Platform,Nintendo,4.89,2.99,2.13,0.78,10.79,7.5,291.0,,Mario,2011-11-10,,Nintendo,Super Mario 3D Land,supermario3dland,,,,,,,,
92,Gran Turismo 5,PS3,2010.0,Racing,Sony Computer Entertainment,2.96,4.88,0.81,2.12,10.77,7.2,200.0,7.0,Gran Turismo,2010-11-25,,Polyphony Digital,Gran Turismo 5,granturismo5,,,,,,,,
93,Call of Duty: Modern Warfare 2,PS3,2009.0,Shooter,Activision,4.99,3.69,0.38,1.63,10.69,7.2,327.0,8.0,Call of Duty,2009-11-09,,Infinity Ward,Call of Duty : Modern Warfare 2,callofdutymodernwarfare2,Call of Duty : Modern Warfare 2,PS3,3 565 avis,2009,2009-11-01,9.0,6.9,callofdutymodernwarfare2
94,Call of Duty: Modern Warfare 2,PS3,2009.0,Shooter,Activision,4.99,3.69,0.38,1.63,10.69,7.2,327.0,8.0,Call of Duty,2009-11-09,,Infinity Ward,Call of Duty: Modern Warfare 2,callofdutymodernwarfare2,Call of Duty : Modern Warfare 2,PS3,3 565 avis,2009,2009-11-01,9.0,6.9,callofdutymodernwarfare2
96,Grand Theft Auto IV,PS3,2008.0,Action,Take-Two Interactive,4.76,3.76,0.44,1.62,10.57,8.0,553.0,8.666666666666666,Grand Theft Auto (GTA),2008-12-04,,Rockstar Games,Grand Theft Auto IV,grandtheftautoiv,Grand Theft Auto IV,PS3,2 835 avis,2008,2008-04-01,9.0,8.8,grandtheftautoiv
97,Super Mario All-Stars,SNES,1993.0,Platform,Nintendo,5.99,2.15,2.12,0.29,10.55,8.1,176.0,5.0,Mario,2010-12-02,,Nintendo,Super Mario 3D All-Stars,supermarioallstars,,,,,,,,
98,Super Mario All-Stars,SNES,1993.0,Platform,Nintendo,5.99,2.15,2.12,0.29,10.55,8.1,176.0,5.0,Mario,2010-12-02,,Nintendo,Super Mario All-Stars,supermarioallstars,,,,,,,,
99,Pokemon FireRed/Pokemon LeafGreen,GBA,2004.0,Role-Playing,Nintendo,4.34,2.65,3.15,0.35,10.49,,,,,,,,,pokemonfireredpokemonleafgreen,,,,,,,,
100,Super Mario 64,DS,2004.0,Platform,Nintendo,5.08,3.11,1.25,0.98,10.42,8.7,445.0,8.0,Mario,2005-03-10,Nintendo,Nintendo,Super Mario 64,supermario64,,,,,,,,
102,Just Dance 3,Wii,2011.0,Misc,Ubisoft,6.05,3.15,0.0,1.07,10.26,6.8,12.0,6.0,Just Dance,2011-10-10,,Ubisoft Montpellier,Just Dance 3,justdance3,Just Dance 3,Wii,145 avis,2011,2011-10-01,8.0,8.5,justdance3
105,Call of Duty: Ghosts,X360,2013.0,Shooter,Activision,6.72,2.63,0.04,0.82,10.21,5.7,103.0,6.0,Call of Duty,2013-11-05,,Infinity Ward,Call of Duty : Ghosts,callofdutyghosts,Call of Duty : Ghosts,X360,826 avis,2013,2013-11-01,7.5,3.95,callofdutyghosts
108,Call of Duty: Ghosts,X360,2013.0,Shooter,Activision,6.72,2.63,0.04,0.82,10.21,5.7,103.0,6.0,Call of Duty,2013-11-05,,Infinity Ward,Call of Duty: Ghosts,callofdutyghosts,Call of Duty : Ghosts,X360,826 avis,2013,2013-11-01,7.5,3.95,callofdutyghosts
109,Halo: Reach,X360,2010.0,Shooter,Microsoft Game Studios,7.03,1.98,0.08,0.78,9.88,7.5,188.0,7.0,Halo,2010-09-16,,Bungie,Halo : Reach,haloreach,Halo Reach,X360,2 427 avis,2010,2010-09-01,9.0,8.95,haloreach
110,Halo: Reach,X360,2010.0,Shooter,Microsoft Game Studios,7.03,1.98,0.08,0.78,9.88,7.5,188.0,7.0,Halo,2010-09-16,,Bungie,Halo: Reach,haloreach,Halo Reach,X360,2 427 avis,2010,2010-09-01,9.0,8.95,haloreach
112,Mario Kart 64,N64,1996.0,Racing,Nintendo,5.55,1.94,2.23,0.15,9.87,8.3,221.0,,,,,Nintendo,,mariokart64,Mario Kart 64,N64,333 avis,1997,1997-06-01,8.5,8.7,mariokart64
113,New Super Mario Bros. 2,3DS,2012.0,Platform,Nintendo,3.66,3.07,2.47,0.63,9.82,6.8,140.0,7.0,Mario,2012-08-17,,Nintendo,New Super Mario Bros. 2,newsupermariobros2,,,,,,,,
114,Halo 4,X360,2012.0,Shooter,Microsoft Game Studios,6.63,2.36,0.04,0.73,9.76,7.2,128.0,7.0,Halo,2012-11-01,,343 Industries,Halo 4,halo4,Halo 4,X360,1 454 avis,2012,2012-11-01,8.0,8.55,halo4
115,Final Fantasy VII,PS,1997.0,Role-Playing,Sony Computer Entertainment,3.01,2.47,3.28,0.96,9.72,9.0,512.0,9.0,Final Fantasy,2000-09-18,,Square Enix,Final Fantasy VII Remake Intergrade,finalfantasyvii,,,,,,,,
116,Final Fantasy VII,PS,1997.0,Role-Playing,Sony Computer Entertainment,3.01,2.47,3.28,0.96,9.72,9.0,512.0,9.0,Final Fantasy,2000-09-18,,Square Enix,Final Fantasy VII,finalfantasyvii,,,,,,,,
119,Call of Duty: Ghosts,PS3,2013.0,Shooter,Activision,4.09,3.73,0.38,1.38,9.59,5.7,103.0,6.0,Call of Duty,2013-11-05,,Infinity Ward,Call of Duty : Ghosts,callofdutyghosts,Call of Duty : Ghosts,PS3,1 420 avis,2013,2013-11-01,7.5,0.0,callofdutyghosts
122,Call of Duty: Ghosts,PS3,2013.0,Shooter,Activision,4.09,3.73,0.38,1.38,9.59,5.7,103.0,6.0,Call of Duty,2013-11-05,,Infinity Ward,Call of Duty: Ghosts,callofdutyghosts,Call of Duty : Ghosts,PS3,1 420 avis,2013,2013-11-01,7.5,0.0,callofdutyghosts
123,Just Dance 2,Wii,2010.0,Misc,Ubisoft,5.84,2.89,0.01,0.78,9.52,6.6,15.0,6.0,Just Dance,2010-10-14,,Ubisoft Montpellier,Just Dance 2,justdance2,Just Dance 2,Wii,151 avis,2010,2010-10-01,7.0,7.75,justdance2
124,Gran Turismo 2,PS,1999.0,Racing,Sony Computer Entertainment,3.88,3.42,1.69,0.5,9.49,8.0,89.0,7.0,Gran Turismo,2000-09-18,,Polyphony Digital,Gran Turismo 2,granturismo2,,,,,,,,
127,Call of Duty 4: Modern Warfare,X360,2007.0,Shooter,Activision,5.91,2.38,0.13,0.9,9.32,7.7,290.0,6.8,Call of Duty,2007-11-09,Activision,Infinity Ward,Call of Duty 4 : Modern Warfare,callofduty4modernwarfare,Call of Duty 4 : Modern Warfare,X360,1 086 avis,2007,2007-11-01,8.5,0.0,callofduty4modernwarfare
130,Call of Duty 4: Modern Warfare,X360,2007.0,Shooter,Activision,5.91,2.38,0.13,0.9,9.32,7.7,290.0,6.8,Call of Duty,2007-11-09,Activision,Infinity Ward,Call of Duty 4: Modern Warfare,callofduty4modernwarfare,Call of Duty 4 : Modern Warfare,X360,1 086 avis,2007,2007-11-01,8.5,0.0,callofduty4modernwarfare
134,Donkey Kong Country,SNES,1994.0,Platform,Nintendo,4.36,1.71,3.0,0.23,9.3,8.6,216.0,6.5,Donkey Kong,2003-06-16,,Retro Studios,Donkey Kong Country : Tropical Freeze,donkeykongcountry,Donkey Kong Country,SNES,197 avis,1994,,9.5,9.3,donkeykongcountry
138,Donkey Kong Country,SNES,1994.0,Platform,Nintendo,4.36,1.71,3.0,0.23,9.3,8.6,216.0,6.5,Donkey Kong,2003-06-16,,Retro Studios,Donkey Kong Country,donkeykongcountry,Donkey Kong Country,SNES,197 avis,1994,,9.5,9.3,donkeykongcountry
141,Minecraft,X360,2013.0,Misc,Microsoft Game Studios,5.58,2.83,0.02,0.77,9.2,8.0,186.0,7.5,Minecraft,2012-02-14,,Mojang Studios,Minecraft,minecraft,Minecraft,X360,809 avis,2011,2011-11-01,9.5,0.0,minecraft
142,Animal Crossing: New Leaf,3DS,2012.0,Simulation,Nintendo,2.01,2.32,4.36,0.41,9.09,7.7,88.0,7.0,Animal Crossing,2013-06-14,,Nintendo,Animal Crossing : New Leaf,animalcrossingnewleaf,,,,,,,,
143,Animal Crossing: New Leaf,3DS,2012.0,Simulation,Nintendo,2.01,2.32,4.36,0.41,9.09,7.7,88.0,7.0,Animal Crossing,2013-06-14,,Nintendo,Animal Crossing: New Leaf,animalcrossingnewleaf,,,,,,,,
144,Mario Party DS,DS,2007.0,Misc,Nintendo,4.46,1.88,1.98,0.7,9.02,6.8,28.0,7.0,Mario,2007-11-27,Nintendo,Nintendo,Mario Party DS,mariopartyds,,,,,,,,
146,The Elder Scrolls V: Skyrim,X360,2011.0,Role-Playing,Bethesda Softworks,5.03,2.86,0.1,0.85,8.84,8.3,510.0,7.333333333333333,The Elder Scrolls,2011-11-11,,Bethesda Softworks,The Elder Scrolls V : Skyrim,theelderscrollsvskyrim,The Elder Scrolls V : Skyrim,X360,2 144 avis,2011,2011-11-01,9.0,9.2,theelderscrollsvskyrim
148,The Elder Scrolls V: Skyrim,X360,2011.0,Role-Playing,Bethesda Softworks,5.03,2.86,0.1,0.85,8.84,8.3,510.0,7.333333333333333,The Elder Scrolls,2011-11-11,,Bethesda Softworks,The Elder Scrolls V: Skyrim,theelderscrollsvskyrim,The Elder Scrolls V : Skyrim,X360,2 144 avis,2011,2011-11-01,9.0,9.2,theelderscrollsvskyrim
150,Super Mario Kart,SNES,1992.0,Racing,Nintendo,3.54,1.24,3.81,0.18,8.76,,,5,,,,,,supermariokart,Super Mario Kart,SNES,188 avis,1993,1993-01-01,9.0,9.0,supermariokart
151,FIFA 16,PS4,2015.0,Sports,Electronic Arts,1.11,6.06,0.06,1.26,8.49,7.0,57.0,8.0,FIFA EA Sports,2015-09-22,,,FIFA 16,fifa16,FIFA 16,PS4,420 avis,2015,2015-09-01,8.0,0.0,fifa16
152,Wii Party,Wii,2010.0,Misc,Nintendo,1.79,3.53,2.49,0.68,8.49,6.4,24.0,6.0,Wii Party,2010-10-07,,Nintendo,Wii Party,wiiparty,,,,,,,,
153,Halo 2,XB,2004.0,Shooter,Microsoft Game Studios,6.82,1.53,0.05,0.08,8.49,7.7,158.0,6.0,Halo,2004-11-10,,Bungie,Halo 2,halo2,,,,,,,,
154,Mario Party 8,Wii,2007.0,Misc,Nintendo,3.81,2.3,1.58,0.73,8.42,5.9,70.0,6.0,Mario,2007-06-21,,Hudson Soft,Mario Party 8,marioparty8,,,,,,,,
155,Pokemon Black 2/Pokemon White 2,DS,2012.0,Role-Playing,Nintendo,2.91,1.86,3.14,0.43,8.33,,,,,,,,,pokemonblack2pokemonwhite2,,,,,,,,
156,FIFA Soccer 13,PS3,2012.0,Action,Electronic Arts,1.06,5.05,0.13,2.01,8.24,7.7,136.0,9,FIFA EA Sports ,,,EA Canada,,fifasoccer13,,,,,,,,
157,The Sims 3,PC,2009.0,Simulation,Electronic Arts,0.98,6.42,0.0,0.71,8.11,6.7,58.0,3,,,,Maxis,,thesims3,,,,,,,,
