,Name,Platform,Year,Genre,Publisher,Studio,NA_Sales,EU_Sales,JP_Sales,Other_Sales,Global_Sales,GK_licence,Mois,Date_Sortie,RM_Publisher,RM_Publisher_score,RM_Publisher_rate,RM_Publisher_reviews,RM_Studio,RM_Studio_score,RM_Studio_rate,RM_Studio_reviews,RM_Licence,RM_Licence_score,RM_Licence_rate,RM_Licence_reviews,is_serie,is_top_serie,is_top_studio,is_e3,is_launch_plateform_associated
12,Pokemon Gold/Pokemon Silver,GB,1999,Role-Playing,Nintendo,Nintendo,9.0,6.18,7.2,0.71,23.1,PokǸmon,1,1999-01-01,7.6,9.47,9.28,1050.0,7.6,9.47,9.28,1050.0,1.83,5.7,5.2,1.0,1,1,1,0,0
13,Wii Fit,Wii,2007,Sports,Nintendo,Nintendo,8.94,8.03,3.6,2.15,22.72,Touch Generations,5,2007-05-01,1.24,6.15,7.3,84.0,7.31,9.08,8.65,564.0,7.31,9.08,8.65,564.0,1,1,1,0,0
14,Wii Fit Plus,Wii,2009,Sports,Nintendo,Nintendo,9.09,8.59,2.53,1.79,22.0,Wii Fit,10,2009-10-01,3.83,8.0,8.25,64.0,0.6,8.0,8.3,59.0,0.6,8.0,8.3,59.0,1,1,1,1,0
15,Kinect Adventures!,X360,2010,Misc,Microsoft Game Studios,Good Science Studio,14.97,4.94,0.24,1.67,21.82,Kinect Adventures!,11,2010-11-01,9.88,8.37,8.28,1307.5,9.88,8.37,8.28,1307.5,9.88,8.37,8.28,1307.5,0,0,0,1,0
16,Grand Theft Auto V,PS3,2013,Action,Take-Two Interactive,Rockstar North,7.01,9.27,0.97,4.14,21.4,Grand Theft Auto (GTA),9,2013-09-01,0.24,6.6,6.67,26.5,11.02,9.16,8.2,1350.0,1.35,8.93,8.18,348.0,1,1,1,1,0
17,Grand Theft Auto: San Andreas,PS2,2004,Action,Take-Two Interactive,Rockstar North,9.43,0.4,0.41,10.57,20.81,Grand Theft Auto (GTA),10,2004-10-01,1.45,6.93,7.4,65.0,0.04,9.13,8.68,363.5,1.72,9.0,8.6,17.0,1,1,1,0,0
18,Super Mario World,SNES,1990,Platform,Nintendo,Nintendo,12.78,3.75,3.54,0.55,20.61,Mario,1,1990-01-01,1.2,4.5,6.8,5.0,1.2,4.5,6.8,5.0,5.34,4.5,6.9,26.5,1,1,1,0,1
19,Brain Age: Train Your Brain in Minutes a Day,DS,2005,Misc,Nintendo,Nintendo,4.75,9.26,4.16,2.05,20.22,Brain Age: Train Your Brain in Minutes a Day,4,2005-04-01,0.6,6.2,7.3,613.0,12.27,7.87,8.17,613.0,12.27,7.87,8.17,613.0,0,0,1,0,0
20,Pokemon Diamond/Pokemon Pearl,DS,2006,Role-Playing,Nintendo,Game Freak,6.42,4.52,6.04,1.37,18.36,PokǸmon,1,2006-01-01,0.61,7.25,8.05,158.0,0.49,7.25,7.0,1.0,0.77,4.8,4.85,4.0,1,1,0,0,0
21,Super Mario Land,GB,1989,Platform,Nintendo,Nintendo,10.83,2.71,4.18,0.42,18.14,Mario,9,1989-09-01,1.28,8.0,4.3,3.0,1.61,8.0,4.3,3.0,7.46,8.0,7.5,160.0,1,1,1,0,1
22,Super Mario Bros. 3,NES,1988,Platform,Nintendo,Nintendo,9.54,3.44,3.84,0.46,17.28,Mario,1,1988-01-01,2.4,7.0,4.8,4.0,2.4,7.0,4.8,4.0,2.28,7.0,7.1,172.0,1,1,1,0,1
23,Grand Theft Auto V,X360,2013,Action,Take-Two Interactive,Rockstar North,9.63,5.31,0.06,1.38,16.38,Grand Theft Auto (GTA),9,2013-09-01,0.05,6.53,6.43,47.0,10.57,9.16,8.17,1694.0,1.08,8.83,7.52,177.5,1,1,1,1,0
24,Grand Theft Auto: Vice City,PS2,2002,Action,Take-Two Interactive,Rockstar North,8.41,5.49,0.47,1.78,16.15,Grand Theft Auto (GTA),11,2002-11-01,0.05,7.99,8.82,189.5,0.05,7.99,8.82,189.5,13.1,8.57,8.52,331.5,1,1,1,0,0
25,Pokemon Ruby/Pokemon Sapphire,GBA,2002,Role-Playing,Nintendo,Nintendo,6.06,3.9,5.38,0.5,15.85,PokǸmon,1,2002-01-01,7.07,9.2,9.1,46.0,0.6,8.0,7.9,46.0,6.39,6.0,8.0,46.0,1,1,1,0,0
26,Pokemon Black/Pokemon White,DS,2010,Role-Playing,Nintendo,Pokemon Black/Pokemon White,5.57,3.28,5.65,0.82,15.32,Pokemon Black/Pokemon White,1,2010-01-01,28.62,7.85,7.95,203.0,28.62,7.85,7.95,203.0,28.62,7.85,7.95,203.0,1,1,0,0,0
27,Brain Age 2: More Training in Minutes a Day,DS,2005,Puzzle,Nintendo,Nintendo,3.44,5.36,5.32,1.18,15.3,Brain Age 2: More Training in Minutes a Day,8,2005-08-01,0.73,7.3,7.2,23.0,0.74,7.9,8.7,5.0,0.74,7.9,8.7,5.0,0,0,1,0,0
28,Gran Turismo 3: A-Spec,PS2,2001,Racing,Sony Computer Entertainment,Polyphony Digital,6.85,5.09,1.87,1.16,14.98,Gran Turismo,7,2001-07-01,0.17,5.15,6.3,4.0,9.49,8.15,8.5,89.0,9.49,8.15,8.5,89.0,1,1,1,1,0
29,Call of Duty: Modern Warfare 3,X360,2011,Shooter,Activision,Infinity Ward,9.03,4.28,0.13,1.32,14.76,Call of Duty,11,2011-11-01,0.1,7.5,5.35,16.0,10.69,8.8,6.9,1946.0,1.4,8.0,6.82,330.0,1,0,1,1,0
30,PokǸmon Yellow: Special Pikachu Edition,GB,1998,Role-Playing,Nintendo,PokǸmon Yellow: Special Pikachu Edition,5.89,5.04,3.12,0.59,14.64,PokǸmon Yellow: Special Pikachu Edition,1,1998-01-01,1.22,7.0,7.42,6.0,1.22,7.0,7.42,6.0,1.22,7.0,7.42,6.0,0,0,0,0,0
31,Call of Duty: Black Ops,X360,2010,Shooter,Activision,Treyarch,9.67,3.73,0.11,1.13,14.64,Call of Duty,11,2010-11-01,0.26,5.65,4.87,2.5,1.53,7.8,7.9,289.0,10.69,8.8,6.9,1946.0,1,0,1,1,0
32,Pokemon X/Pokemon Y,3DS,2013,Role-Playing,Nintendo,Game Freak,5.17,4.05,4.34,0.79,14.35,PokǸmon,1,2013-01-01,2.27,7.25,6.2,70.0,0.05,8.1,8.05,3.0,0.07,7.0,7.8,42.0,1,1,0,0,0
33,Call of Duty: Black Ops 3,PS4,2015,Shooter,Activision,Treyarch,5.77,5.81,0.35,2.31,14.24,Call of Duty,1,2015-01-01,0.41,7.6,5.42,188.0,0.43,7.87,6.45,162.5,4.31,7.5,6.25,96.5,1,0,1,1,0
34,Call of Duty: Black Ops II,PS3,2012,Shooter,Activision,Treyarch,4.99,5.88,0.65,2.52,14.03,Call of Duty: Black Ops II,11,2012-11-01,0.28,8.0,6.82,330.0,1.4,8.0,6.82,330.0,1.4,8.0,6.82,330.0,1,0,1,1,1
35,Call of Duty: Black Ops II,X360,2012,Shooter,Activision,Treyarch,8.25,4.3,0.07,1.12,13.73,Call of Duty: Black Ops II,11,2012-11-01,0.14,6.13,6.15,7.0,0.89,7.5,4.25,197.0,0.89,7.5,4.25,197.0,1,0,1,1,1
36,Call of Duty: Modern Warfare 2,X360,2009,Shooter,Activision,Infinity Ward,8.52,3.63,0.08,1.29,13.51,Call of Duty,11,2009-11-01,0.24,5.9,6.25,4.0,6.72,8.23,8.25,818.0,0.19,7.1,7.32,292.0,1,0,1,1,0
37,Call of Duty: Modern Warfare 3,PS3,2011,Shooter,Activision,Infinity Ward,5.54,5.82,0.49,1.62,13.46,Call of Duty,11,2011-11-01,0.09,5.1,6.45,3.0,0.89,8.53,5.9,1093.5,0.63,7.8,6.92,171.5,1,0,1,1,0
38,Grand Theft Auto III,PS2,2001,Action,Take-Two Interactive,DMA Design,6.99,4.51,0.3,1.3,13.1,Grand Theft Auto (GTA),10,2001-10-01,3.31,8.0,8.17,139.0,0.2,7.3,5.95,2.0,0.11,7.3,5.7,7.0,1,1,0,0,0
39,Super Smash Bros. Brawl,Wii,2008,Fighting,Nintendo,Game Arts,6.75,2.61,2.66,1.02,13.04,Mario,3,2008-03-01,0.65,7.55,7.25,41.0,0.12,5.9,5.05,2.0,11.52,9.4,9.02,1029.0,1,0,0,1,0
40,Call of Duty: Black Ops,PS3,2010,Shooter,Activision,Treyarch,5.98,4.44,0.48,1.83,12.73,Call of Duty,11,2010-11-01,0.13,5.0,7.7,3.0,0.06,5.0,7.7,3.0,0.89,8.53,5.9,1093.5,1,0,1,1,0
41,Animal Crossing: Wild World,DS,2005,Simulation,Nintendo,Nintendo,2.55,3.52,5.33,0.88,12.27,Animal Crossing: Wild World,3,2005-03-01,1.07,6.75,7.2,33.0,24.76,7.0,6.2,17.0,24.76,7.0,6.2,17.0,1,0,1,1,0
42,Mario Kart 7,3DS,2011,Racing,Nintendo,Retro Studios,4.74,3.91,2.67,0.89,12.21,Mario,12,2011-12-01,10.79,9.0,7.95,291.0,0.63,8.55,8.95,73.0,7.69,9.4,9.0,896.5,1,1,0,1,0
43,Halo 3,X360,2007,Shooter,Microsoft Game Studios,Bungie Software,7.97,2.83,0.13,1.21,12.14,Halo,9,2007-09-01,0.47,5.53,7.08,29.5,8.49,7.75,8.2,158.0,0.16,7.75,8.2,158.0,1,1,0,1,0
44,Grand Theft Auto V,PS4,2014,Action,Take-Two Interactive,Rockstar North,3.8,5.81,0.36,2.02,11.98,Grand Theft Auto (GTA),9,2014-09-01,1.19,7.97,7.45,65.5,21.4,9.23,8.48,1534.0,21.4,9.23,8.48,1534.0,1,1,1,1,0
45,Pokemon HeartGold/Pokemon SoulSilver,DS,2009,Action,Nintendo,Nintendo,4.4,2.77,3.96,0.77,11.9,PokǸmon,1,2009-01-01,2.61,7.3,8.0,17.0,3.27,4.65,4.15,17.0,1.61,4.65,5.55,15.0,1,1,1,0,0
46,Super Mario 64,N64,1996,Platform,Nintendo,Nintendo,6.91,2.85,1.91,0.23,11.89,Mario,3,1996-03-01,0.23,8.0,8.7,3.0,5.15,8.0,8.6,100.5,10.55,5.0,8.1,176.0,1,1,1,0,1
47,Gran Turismo 4,PS2,2004,Racing,Sony Computer Entertainment,Polyphony Digital,3.01,0.01,1.1,7.53,11.66,Gran Turismo,2,2004-02-01,0.14,4.0,4.0,1.0,14.98,9.25,8.4,107.0,14.98,9.25,8.4,107.0,1,1,1,1,0
48,Super Mario Galaxy,Wii,2007,Platform,Nintendo,Nintendo,6.16,3.4,1.2,0.76,11.52,Mario,11,2007-11-01,0.42,8.35,8.1,88.0,5.17,8.67,8.02,679.0,8.42,6.1,6.2,70.0,1,1,1,1,0
49,Pokemon Omega Ruby/Pokemon Alpha Sapphire,3DS,2014,Role-Playing,Nintendo,PokǸmon,4.23,3.37,3.08,0.65,11.33,PokǸmon,1,2014-01-01,0.89,7.2,7.15,10.0,0.89,7.2,7.15,10.0,0.79,5.0,7.35,2.0,1,1,0,0,0
50,Super Mario Land 2: 6 Golden Coins,GB,1992,Adventure,Nintendo,Super Mario Land 2: 6 Golden Coins,6.16,2.04,2.69,0.29,11.18,Super Mario Land 2: 6 Golden Coins,1,1992-01-01,0.23,8.0,7.22,15.5,0.23,8.0,7.22,15.5,0.23,8.0,7.22,15.5,1,1,0,0,1
51,Grand Theft Auto IV,X360,2008,Action,Take-Two Interactive,Rockstar North,6.76,3.1,0.14,1.03,11.02,Grand Theft Auto (GTA),4,2008-04-01,0.14,6.3,7.6,746.5,0.98,9.1,8.7,746.5,3.54,7.6,7.55,155.5,1,1,1,0,0
52,Gran Turismo,PS,1997,Racing,Sony Computer Entertainment,Polyphony Digital,4.02,3.87,2.54,0.52,10.95,Gran Turismo,4,1997-04-01,0.06,,,,0.06,,,,0.06,,,,1,1,1,0,0
53,Super Mario 3D Land,3DS,2011,Platform,Nintendo,Nintendo,4.89,2.99,2.13,0.78,10.79,Mario,11,2011-11-01,1.7,7.35,7.85,29.0,0.95,5.0,5.4,6.0,2.11,6.2,7.1,13.0,1,1,1,1,0
54,Gran Turismo 5,PS3,2010,Racing,Sony Computer Entertainment,Polyphony Digital,2.96,4.88,0.81,2.12,10.77,Gran Turismo,11,2010-11-01,0.3,7.5,5.75,1.0,4.2,7.5,6.6,74.0,4.2,7.5,6.6,74.0,1,1,1,1,0
55,Call of Duty: Modern Warfare 2,PS3,2009,Shooter,Activision,Infinity Ward,4.99,3.69,0.38,1.63,10.69,Call of Duty,11,2009-11-01,0.12,8.17,8.1,672.0,1.15,8.17,8.1,672.0,0.03,6.0,5.7,101.0,1,0,1,1,0
56,Grand Theft Auto IV,PS3,2008,Action,Take-Two Interactive,Rockstar North,4.76,3.76,0.44,1.62,10.57,Grand Theft Auto (GTA),4,2008-04-01,0.03,7.57,7.82,115.5,7.72,7.93,7.5,288.5,0.97,7.17,7.53,124.5,1,1,1,0,0
57,Super Mario All-Stars,SNES,1993,Platform,Nintendo,Nintendo,5.99,2.15,2.12,0.29,10.55,Mario,1,1993-01-01,5.13,7.0,7.85,48.0,1.76,8.5,7.75,26.0,4.85,5.0,7.4,34.0,1,1,1,0,0
58,Pokemon FireRed/Pokemon LeafGreen,GBA,2004,Role-Playing,Nintendo,Pokemon FireRed/Pokemon LeafGreen,4.34,2.65,3.15,0.35,10.49,Pokemon FireRed/Pokemon LeafGreen,1,2004-01-01,0.74,7.6,7.65,81.0,0.74,7.6,7.65,81.0,0.74,7.6,7.65,81.0,1,1,0,0,0
59,Super Mario 64,DS,2004,Platform,Nintendo,Nintendo,5.08,3.11,1.25,0.98,10.42,Mario,1,2004-01-01,0.38,5.5,5.7,8.0,1.23,7.95,8.15,36.0,6.31,9.2,8.4,36.0,1,1,1,0,1
60,Just Dance 3,Wii,2011,Misc,Ubisoft,Ubisoft,6.05,3.15,0.0,1.07,10.26,Just Dance,10,2011-10-01,0.08,5.1,10.0,1.0,0.08,5.1,10.0,1.0,0.73,5.1,10.0,1.0,1,1,1,1,0
61,Call of Duty: Ghosts,X360,2013,Shooter,Activision,Infinity Ward,6.72,2.63,0.04,0.82,10.21,Call of Duty,11,2013-11-01,0.05,8.1,5.6,1907.0,13.46,8.1,5.5,1907.0,0.89,7.5,4.25,197.0,1,0,1,1,1
62,Halo: Reach,X360,2010,Shooter,Microsoft Game Studios,Bungie,7.03,1.98,0.08,0.78,9.88,Halo,9,2010-09-01,0.17,3.75,6.85,3.0,0.16,3.75,6.85,3.0,2.63,6.6,6.9,38.0,1,1,0,1,0
63,Mario Kart 64,N64,1996,Racing,Nintendo,Nintendo,5.55,1.94,2.23,0.15,9.87,Mario Kart 64,6,1996-06-01,0.17,8.5,8.28,28.0,31.37,7.0,8.2,138.0,31.37,7.0,8.2,138.0,1,1,1,0,0
64,New Super Mario Bros. 2,3DS,2012,Platform,Nintendo,Nintendo,3.66,3.07,2.47,0.63,9.82,Mario,8,2012-08-01,1.05,7.0,8.15,2.0,1.27,5.9,6.3,2.0,10.79,9.0,7.95,291.0,0,0,1,1,0
65,Halo 4,X360,2012,Shooter,Microsoft Game Studios,343 Industries,6.63,2.36,0.04,0.73,9.76,Halo,11,2012-11-01,0.29,6.05,4.9,0.0,2.44,8.6,8.15,244.0,9.88,8.37,8.28,1307.5,1,1,0,1,0
66,Final Fantasy VII,PS,1997,Role-Playing,Sony Computer Entertainment,SquareSoft,3.01,2.47,3.28,0.96,9.72,Final Fantasy,9,1997-09-01,0.06,7.6,8.8,146.0,2.45,7.4,8.8,146.0,0.63,7.4,9.5,4.0,1,1,0,1,0
67,Call of Duty: Ghosts,PS3,2013,Shooter,Activision,Infinity Ward,4.09,3.73,0.38,1.38,9.59,Call of Duty,11,2013-11-01,0.05,7.77,5.3,972.0,1.72,7.77,4.95,972.0,1.69,2.0,3.2,9.0,1,0,1,1,1
68,Just Dance 2,Wii,2010,Misc,Ubisoft,Ubisoft,5.84,2.89,0.01,0.78,9.52,Just Dance,10,2010-10-01,0.11,5.23,6.18,7.5,0.11,5.23,6.18,7.5,0.02,6.0,6.8,12.0,1,1,1,1,0
69,Gran Turismo 2,PS,1999,Racing,Sony Computer Entertainment,Polyphony Digital,3.88,3.42,1.69,0.5,9.49,Gran Turismo,11,1999-11-01,4.79,7.4,8.3,29.0,10.95,8.3,7.85,38.0,10.95,8.3,7.85,38.0,1,1,1,0,0
70,Call of Duty 4: Modern Warfare,X360,2007,Shooter,Activision,Infinity Ward,5.91,2.38,0.13,0.9,9.32,Call of Duty,11,2007-11-01,0.02,8.13,7.85,162.5,2.02,8.13,7.85,162.5,1.07,7.1,6.5,48.0,1,0,1,1,0
71,Donkey Kong Country,SNES,1994,Platform,Nintendo,Retro Studios,4.36,1.71,3.0,0.23,9.3,Donkey Kong,1,1994-01-01,0.35,3.0,6.0,15.0,1.46,3.0,5.9,38.0,1.11,3.0,5.4,24.0,1,1,0,0,1
72,Minecraft,X360,2013,Misc,Microsoft Game Studios,Mojang Studios,5.58,2.83,0.02,0.77,9.2,Minecraft,11,2013-11-01,0.06,6.0,6.7,35.0,0.06,6.0,6.7,35.0,0.06,6.0,6.7,35.0,0,1,0,1,0
73,Animal Crossing: New Leaf,3DS,2012,Simulation,Nintendo,Nintendo,2.01,2.32,4.36,0.41,9.09,Animal Crossing,6,2012-06-01,0.22,4.7,5.85,6.0,0.09,6.45,6.7,19.0,3.15,8.7,8.8,19.0,1,0,1,1,0
74,Mario Party DS,DS,2007,Misc,Nintendo,Hudson Soft,4.46,1.88,1.98,0.7,9.02,Mario,11,2007-11-01,0.35,7.25,7.55,12.0,0.06,5.75,6.65,5.0,3.76,8.33,7.9,297.0,1,1,0,0,0
75,The Elder Scrolls V: Skyrim,X360,2011,Role-Playing,Bethesda Softworks,Bethesda Game Studios,5.03,2.86,0.1,0.85,8.84,The Elder Scrolls,11,2011-11-01,0.22,5.87,6.07,40.5,4.01,8.17,7.92,363.5,0.26,9.02,8.28,604.5,0,0,0,1,0
76,Super Mario Kart,SNES,1992,Racing,Nintendo,Super Mario Kart,3.54,1.24,3.81,0.18,8.76,Super Mario Kart,1,1992-01-01,4.61,9.25,9.35,381.5,4.61,9.25,9.35,381.5,4.61,9.25,9.35,381.5,1,1,0,0,0
77,FIFA 16,PS4,2015,Sports,Electronic Arts,EA Sports,1.11,6.06,0.06,1.26,8.49,FIFA EA Sports,9,2015-09-01,0.98,8.0,6.7,4.0,0.98,8.0,6.7,4.0,0.45,6.75,4.78,31.0,1,1,1,1,0
78,Wii Party,Wii,2010,Misc,Nintendo,Nd Cube,1.79,3.53,2.49,0.68,8.49,Wii Party,10,2010-10-01,0.58,6.07,7.17,10.0,1.04,8.3,7.58,86.0,1.04,8.3,7.58,86.0,1,1,0,1,0
79,Halo 2,XB,2004,Shooter,Microsoft Game Studios,Bungie Software,6.82,1.53,0.05,0.08,8.49,Halo,11,2004-11-01,0.19,5.85,7.05,8.0,6.43,8.68,8.4,247.0,6.43,8.68,8.4,247.0,1,1,0,1,0
80,Mario Party 8,Wii,2007,Misc,Nintendo,Hudson,3.81,2.3,1.58,0.73,8.42,Mario,5,2007-05-01,0.66,5.5,6.35,6.0,0.04,3.4,2.1,6.0,30.01,8.45,8.1,229.0,1,1,0,0,0
81,Pokemon Black 2/Pokemon White 2,DS,2012,Role-Playing,Nintendo,Pokemon Black 2/Pokemon White 2,2.91,1.86,3.14,0.43,8.33,Pokemon Black 2/Pokemon White 2,1,2012-01-01,4.21,9.25,9.22,1152.0,4.21,9.25,9.22,1152.0,4.21,9.25,9.22,1152.0,1,1,0,0,0
82,FIFA Soccer 13,PS3,2012,Action,Electronic Arts,Electronic Arts,1.06,5.05,0.13,2.01,8.24,FIFA EA Sports,9,2012-09-01,0.24,7.75,7.72,3.5,0.55,6.67,6.92,2.0,0.47,9.0,7.7,136.0,1,1,0,0,1
83,The Sims 3,PC,2009,Simulation,Electronic Arts,The Sims Studio,0.98,6.42,0.0,0.71,8.11,The Sims 3,6,2009-06-01,0.47,8.6,7.8,,0.47,8.6,7.8,,0.47,8.6,7.8,,0,0,0,0,0
84,GoldenEye 007,N64,1997,Shooter,Nintendo,Rare Ltd.,5.8,2.01,0.13,0.15,8.09,GoldenEye 007,8,1997-08-01,4.03,7.9,8.15,181.0,0.71,9.0,7.45,8.0,0.71,9.0,7.45,8.0,0,0,0,0,0
85,Mario & Sonic at the Olympic Games,Wii,2007,Sports,Sega,Sega,2.58,3.9,0.66,0.91,8.06,Mario & Sonic at the Olympic Games,11,2007-11-01,0.26,7.2,7.1,40.0,0.47,6.2,6.5,3.0,0.47,6.2,6.5,3.0,0,1,1,0,0
86,Final Fantasy X,PS2,2001,Role-Playing,Sony Computer Entertainment,SquareSoft,2.91,2.07,2.73,0.33,8.05,Final Fantasy,12,2001-12-01,0.14,6.25,6.85,3.0,0.87,9.2,8.65,100.0,5.3,8.45,8.8,350.0,1,1,0,0,0
87,Final Fantasy VIII,PS,1999,Role-Playing,SquareSoft,SquareSoft,2.28,1.72,3.63,0.23,7.86,Final Fantasy,9,1999-09-01,0.21,8.1,6.6,9.0,1.14,8.1,7.7,13.0,0.45,8.1,8.7,3.0,1,1,0,1,0
88,PokǸmon Platinum Version,DS,2008,Role-Playing,Nintendo,Game Freak,2.82,1.78,2.69,0.55,7.84,PokǸmon,1,2008-01-01,0.51,7.4,8.45,63.0,18.36,7.0,7.7,68.0,18.36,7.0,7.7,68.0,0,0,0,0,0
89,Pac-Man,2600,1982,Puzzle,Atari,Pac-Man,7.28,0.45,0.0,0.08,7.81,Pac-Man,1,1982-01-01,0.21,2.0,2.0,1.0,0.21,2.0,2.0,1.0,1.65,6.7,6.7,9.0,1,0,0,0,0
90,Grand Theft Auto: Liberty City Stories,PSP,2005,Action,Take-Two Interactive,Rockstar North,2.9,2.83,0.24,1.75,7.72,Grand Theft Auto (GTA),12,2005-12-01,0.08,7.4,8.25,18.0,1.95,9.15,8.65,333.0,1.95,9.15,8.65,333.0,1,1,1,0,0
91,Super Mario Galaxy 2,Wii,2010,Platform,Nintendo,Nintendo EAD Tokyo ,3.66,2.42,0.98,0.64,7.69,Mario,6,2010-06-01,1.81,7.9,8.1,69.0,1.81,7.9,8.1,69.0,2.6,6.0,6.7,33.0,1,1,1,1,0
92,Star Wars Battlefront (2015),PS4,2015,Shooter,Electronic Arts,DICE,2.93,3.29,0.22,1.23,7.67,Star Wars Battlefront (2015),1,2015-01-01,0.65,7.75,7.88,84.0,0.02,7.0,6.3,9.0,0.02,7.0,6.3,9.0,0,0,0,0,0
93,Call of Duty: Advanced Warfare,PS4,2014,Shooter,Activision,Sledgehammer Games,2.8,3.3,0.14,1.37,7.6,Call of Duty,11,2014-11-01,0.22,6.77,5.65,1.0,0.22,6.77,5.65,1.0,0.73,6.77,3.45,549.5,1,0,0,1,0
94,The Legend of Zelda: Ocarina of Time,N64,1998,Action,Nintendo,Nintendo,4.1,1.89,1.45,0.16,7.6,The Legend of Zelda,12,1998-12-01,1.83,5.7,5.2,1.0,0.38,5.7,7.6,25.0,4.61,9.25,9.35,381.5,0,1,1,0,0
95,Crash Bandicoot 2: Cortex Strikes Back,PS,1997,Platform,Sony Computer Entertainment,Naughty Dog,3.78,2.17,1.31,0.31,7.58,Crash Bandicoot,1,1997-01-01,5.74,8.9,8.0,60.0,5.74,8.9,8.0,60.0,6.82,7.0,6.9,13.0,1,0,1,0,0
96,Super Mario Bros. 2,NES,1988,Platform,Nintendo,Nintendo,5.39,1.18,0.7,0.19,7.46,Mario,1,1988-01-01,2.15,7.0,3.7,3.0,2.15,7.0,3.7,3.0,40.24,7.0,8.4,235.0,1,1,1,0,1
97,Super Smash Bros. for Wii U and 3DS,3DS,2014,Fighting,Nintendo,Namco,3.24,1.35,2.42,0.43,7.45,Super Smash Bros. for Wii U and 3DS,1,2014-01-01,0.8,5.25,5.75,6.0,0.05,5.0,7.8,4.0,0.05,5.0,7.8,4.0,1,0,1,1,0
98,Call of Duty: World at War,X360,2008,Shooter,Activision,Treyarch,4.79,1.9,0.0,0.69,7.37,Call of Duty,11,2008-11-01,0.03,6.0,5.9,49.0,0.03,6.0,5.9,49.0,1.15,8.17,8.1,672.0,1,0,1,1,0
